mode,time,x,y,theta,linear_vel,angular_vel,pos_err,ang_err,err_it,err_ct,leader_x,leader_y,hdg_to_leader
3,21.799954185,3.599797100005271,12.563376304101746,3.636829828843184,0.3748552601724354,0.06711614065224225,1.874276300862177,0.06711614065224225,0.0,0.0,-2.031211245902974,8.852425691323884,-2.5589021631506075
3,21.899997631,3.533974166465199,12.563706385266379,3.639011490408177,0.34876846704191156,0.08527165362080158,1.7438423352095578,0.08527165362080158,0.0,0.0,-2.0315943814271584,8.816581408917184,-2.5490330961111325
3,21.999820917,3.481315818628186,12.563970450672135,3.6401023211906733,0.3418867142895275,0.0940498898777804,1.7094335714476374,0.0940498898777804,0.0,0.0,-2.031900889092789,8.787905982833806,-2.5410652710239434
3,22.100663493,3.4391891408610538,12.564181702680706,3.645556475103156,0.3364762823419632,0.09656356105248687,1.682381411709816,0.09656356105248687,0.0,0.0,-2.0321460957277715,8.764965642125121,-2.5346447319496814
3,22.20091969,3.405487799149826,12.564350704761615,3.653192290580631,0.3322094722065595,0.09534828464927436,1.6610473610327974,0.09534828464927436,0.0,0.0,-2.03234226053328,8.746613369400155,-2.52947877987135
3,22.300811731,3.378526725529604,12.56448590611031,3.6608281060581063,0.3288357930129065,0.09287842125013057,1.6441789650645324,0.09287842125013057,0.0,0.0,-2.0324991931314034,8.731931551536219,-2.525327180499618
3,22.399644163,3.3569578663821877,12.564594067505299,3.668463921535581,0.326162499442448,0.08939420514438723,1.63081249721224,0.08939420514438723,0.0,0.0,-2.0326247384561853,8.720186096929034,-2.5219938752240996
3,22.499967817,3.3397027788130162,12.564680596305257,3.6760997370130566,0.32404038153836834,0.08509169494243007,1.6202019076918415,0.08509169494243007,0.0,0.0,-2.03272517496725,8.710789733559322,-2.5193195512730986
3,22.601205523,3.32589870850644,12.564749819029185,3.6815538909255388,0.32235330983086713,0.08231186498094889,1.6117665491543356,0.08231186498094889,0.0,0.0,-2.0328055249298185,8.703272643021569,-2.5171751860083997
3,22.700369366,3.32589870850644,12.564749819029185,3.6880988756205175,0.3210104775099316,0.07791124555066897,1.6050523875496578,0.07791124555066897,0.0,0.0,-2.0328698043973947,8.69725897043335,-2.516442607178955
3,22.801817149,3.146906567883986,12.564849500415319,3.6924621987505035,0.3217244105918921,0.07428050125012753,1.6086220529594604,0.07428050125012753,0.0,0.0,-2.032921227971457,8.692448032204755,-2.4996339953129483
3,22.900842438,3.0832649179407223,12.564884942949307,3.695734691097993,0.2934621621944105,0.08781662076864549,1.4673108109720525,0.08781662076864549,0.0,0.0,-2.0329623670819443,8.688599281463864,-2.493216468722136
